data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open,,obj_val,obj_bound,gap,time,,rel_gap
IEEE118_P_100_14,10,TIME_LIMIT,1645.424069,1631.455016,0.008489637,60.01789093,10,,1645.424069,1637.92161,0.00455959,60.0106144,,0.0%
IEEE118_P_100_14,15,TIME_LIMIT,1635.71075,1631.455016,0.002601764,60.01830292,15,,1635.428767,1631.455016,0.002429791,60.01460838,,0.0%
IEEE118_P_100_14,20,OPTIMAL,1632.692279,1632.676585,9.61E-06,43.23747444,20,,1632.795195,1632.676585,7.26E-05,9.325780869,,0.0%
IEEE118_P_100_14,25,TIME_LIMIT,1632.794617,1631.455016,0.000820434,60.0116024,25,,1632.68095,1632.676506,2.72E-06,14.26669312,,0.0%
IEEE118_P_100_15,10,TIME_LIMIT,1694.350016,1682.987371,0.006706197,60.02198029,10,,1694.310765,1694.26874,2.48E-05,8.966466904,,0.0%
IEEE118_P_100_15,15,TIME_LIMIT,1699.541682,1684.2687,0.00898653,60.0173645,15,,1694.272985,1688.267244,0.00354473,60.01686096,,0.3%
IEEE118_P_100_15,20,TIME_LIMIT,1691.410757,1682.987371,0.004980095,60.01625633,20,,1689.174462,1687.093414,0.001231991,60.02103233,,0.1%
IEEE118_P_100_15,25,TIME_LIMIT,1688.224339,1682.987371,0.003102057,60.01552391,25,,1688.304341,1688.267244,2.20E-05,5.038269043,,0.0%
IEEE118_P_100_16,10,TIME_LIMIT,1455.382803,1451.876462,0.002409223,60.02319527,10,,1453.943458,1451.876462,0.001421648,60.02593231,,0.1%
IEEE118_P_100_16,15,TIME_LIMIT,1452.087289,1451.876462,0.000145189,60.02955055,15,,1451.877071,1451.876462,4.20E-07,13.272789,,0.0%
IEEE118_P_100_16,20,OPTIMAL,1451.993987,1451.876462,8.09E-05,15.33233643,20,,1451.905549,1451.876462,2.00E-05,14.05488968,,0.0%
IEEE118_P_100_16,25,OPTIMAL,1451.89554,1451.876462,1.31E-05,31.4395504,25,,1451.878675,1451.876462,1.52E-06,2.967712402,,0.0%
IEEE118_P_100_17,10,TIME_LIMIT,1743.249203,1733.721365,0.005465563,60.01284599,10,,1741.937808,1741.877077,3.49E-05,38.81885147,,0.1%
IEEE118_P_100_17,15,TIME_LIMIT,1741.4019,1733.721365,0.004410547,60.02596855,15,,1733.767433,1733.721365,2.66E-05,5.982494354,,0.4%
IEEE118_P_100_17,20,OPTIMAL,1733.806484,1733.721365,4.91E-05,56.0154705,20,,1733.806192,1733.721365,4.89E-05,4.962116241,,0.0%
IEEE118_P_100_17,25,OPTIMAL,1733.838745,1733.721365,6.77E-05,9.66122818,25,,1735.656563,1733.721365,0.001114966,60.02291298,,-0.1%
IEEE118_P_100_18,10,TIME_LIMIT,1631.759737,1614.484503,0.010586873,60.02495956,10,,1628.64358,1628.64358,0,17.26381111,,0.2%
IEEE118_P_100_18,15,TIME_LIMIT,1631.845495,1612.980381,0.0115606,60.01207542,12.00000418,,1630.675427,1612.980381,0.01085136,60.03773308,,0.1%
IEEE118_P_100_18,20,TIME_LIMIT,1621.48963,1614.484503,0.00432018,60.01858711,20,,1615.666349,1612.81131,0.001767097,60.01819038,,0.4%
IEEE118_P_100_18,25,TIME_LIMIT,1619.705602,1614.521823,0.003200445,60.02202797,24,,1615.636798,1615.077199,0.000346365,60.01652908,,0.3%
IEEE118_P_100_19,10,TIME_LIMIT,1603.916185,1586.265431,0.011004786,60.04817581,10,,1601.489131,1601.471727,1.09E-05,46.25766182,,0.2%
IEEE118_P_100_19,15,TIME_LIMIT,1593.060221,1586.265431,0.004265244,60.03225708,15,,1589.261197,1586.265431,0.001885005,60.0474968,,0.2%
IEEE118_P_100_19,20,TIME_LIMIT,1587.004611,1586.265431,0.00046577,60.01383972,20,,1587.0047,1586.265431,0.000465827,60.02173233,,0.0%
IEEE118_P_100_19,25,TIME_LIMIT,1593.060736,1586.265431,0.004265566,60.03708458,25,,1587.105295,1587.003793,6.40E-05,3.812189102,,0.4%
IEEE118_P_100_20,10,TIME_LIMIT,1464.0491,1457.453619,0.004504959,60.0133152,10,,1464.0491,1463.918053,8.95E-05,47.74908638,,0.0%
IEEE118_P_100_20,15,TIME_LIMIT,1458.12892,1457.453619,0.000463129,60.01794815,15,,1458.046888,1457.453619,0.000406893,60.01740456,,0.0%
IEEE118_P_100_20,20,TIME_LIMIT,1458.044063,1457.453619,0.000404956,60.00922394,20,,1457.483306,1457.453619,2.04E-05,23.16882515,,0.0%
IEEE118_P_100_20,25,OPTIMAL,1457.558566,1457.453619,7.20E-05,11.10028076,25,,1457.462801,1457.453619,6.30E-06,43.39894867,,0.0%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.2%
