data_instance,max_path,max_edge,time
IEEE118_P_1.0_39,23,5,40.989
IEEE118_P_1.0_39,23,7,42.006
IEEE118_P_1.0_40,23,3,39.628
IEEE118_P_1.0_40,23,5,34.497
IEEE118_P_1.0_40,23,7,34.845
IEEE118_P_1.0_41,23,3,36.971
IEEE118_P_1.0_41,23,5,29.524
IEEE118_P_1.0_41,23,7,28.882
IEEE118_P_1.0_42,23,3,33.945
IEEE118_P_1.0_42,23,5,28.617
IEEE118_P_1.0_42,23,7,27.818
IEEE118_P_1.0_43,23,3,35.421
IEEE118_P_1.0_43,23,5,30.144
IEEE118_P_1.0_43,23,7,30.476
IEEE118_P_1.0_44,23,3,35.007
IEEE118_P_1.0_44,23,5,27.505
IEEE118_P_1.0_44,23,7,27.697
IEEE118_P_1.0_45,23,3,34.186
IEEE118_P_1.0_45,23,5,29.882
IEEE118_P_1.0_45,23,7,30.272
IEEE118_P_1.0_46,23,3,36.897
IEEE118_P_1.0_46,23,5,29.51
IEEE118_P_1.0_46,23,7,29.076
IEEE118_P_1.0_47,23,3,33.608
IEEE118_P_1.0_47,23,5,30.966
IEEE118_P_1.0_47,23,7,31.682
IEEE118_P_1.0_48,23,3,35.832
IEEE118_P_1.0_48,23,5,29.274
IEEE118_P_1.0_48,23,7,28.704
IEEE118_P_1.0_49,23,3,33.006
IEEE118_P_1.0_49,23,5,30.437
IEEE118_P_1.0_49,23,7,31.071
IEEE118_P_1.0_50,23,3,36.292
IEEE118_P_1.0_50,23,5,31.216
IEEE118_P_1.0_50,23,7,31.337
IEEE118_P_1.0_51,23,3,38.979
IEEE118_P_1.0_51,23,5,29.923
IEEE118_P_1.0_51,23,7,29.993
IEEE118_P_1.0_52,23,3,34.795
IEEE118_P_1.0_52,23,5,28.561
IEEE118_P_1.0_52,23,7,28.601
IEEE118_P_1.0_53,23,3,36.668
IEEE118_P_1.0_53,23,5,30.26
IEEE118_P_1.0_53,23,7,30.373
IEEE118_P_1.0_54,23,3,33.49
IEEE118_P_1.0_54,23,5,29.116
IEEE118_P_1.0_54,23,7,28.917
IEEE118_P_1.0_55,23,3,42.097
IEEE118_P_1.0_55,23,5,36.989
IEEE118_P_1.0_55,23,7,37.841
IEEE118_P_1.0_56,23,3,33.888
IEEE118_P_1.0_56,23,5,31.762
IEEE118_P_1.0_56,23,7,32.457
IEEE118_P_1.0_57,23,3,34.893
IEEE118_P_1.0_57,23,5,30.89
IEEE118_P_1.0_57,23,7,30.155
IEEE118_P_1.0_58,23,3,32.175
IEEE118_P_1.0_58,23,5,26.574
IEEE118_P_1.0_58,23,7,26.471
IEEE118_P_1.0_59,23,3,36.606
IEEE118_P_1.0_59,23,5,33.416
IEEE118_P_1.0_59,23,7,33.963
IEEE118_P_1.0_60,23,3,35.052
IEEE118_P_1.0_60,23,5,31.423
IEEE118_P_1.0_60,23,7,31.422
IEEE118_P_1.0_61,23,3,34.936
IEEE118_P_1.0_61,23,5,28.686
IEEE118_P_1.0_61,23,7,28.307
IEEE118_P_1.0_62,23,3,36.209
IEEE118_P_1.0_62,23,5,31.254
IEEE118_P_1.0_62,23,7,31.518
IEEE118_P_1.0_63,23,3,34.312
IEEE118_P_1.0_63,23,5,29.678
IEEE118_P_1.0_63,23,7,30.656
IEEE118_P_1.0_64,23,3,34.333
IEEE118_P_1.0_64,23,5,30.646
IEEE118_P_1.0_64,23,7,31.144
IEEE118_P_1.0_65,23,3,33.342
IEEE118_P_1.0_65,23,5,27.282
IEEE118_P_1.0_65,23,7,27.873
IEEE118_P_1.0_66,23,3,34.185
IEEE118_P_1.0_66,23,5,31.048
IEEE118_P_1.0_66,23,7,31.425
IEEE118_P_1.0_67,23,3,32.572
IEEE118_P_1.0_67,23,5,29.83
IEEE118_P_1.0_67,23,7,30.226
IEEE118_P_1.0_68,23,3,32.353
IEEE118_P_1.0_68,23,5,31.384
IEEE118_P_1.0_68,23,7,31.854
IEEE118_P_1.0_69,23,3,44.241
IEEE118_P_1.0_69,23,5,38.903
IEEE118_P_1.0_69,23,7,39.987
IEEE118_P_1.0_70,23,3,38.039
IEEE118_P_1.0_70,23,5,30.056
IEEE118_P_1.0_70,23,7,29.797
IEEE118_P_1.0_71,23,3,40.53
IEEE118_P_1.0_71,23,5,36.535
IEEE118_P_1.0_71,23,7,37.558
IEEE118_P_1.0_72,23,3,36.943
IEEE118_P_1.0_72,23,5,28.966
IEEE118_P_1.0_72,23,7,29.349
IEEE118_P_1.0_73,23,3,40.975
IEEE118_P_1.0_73,23,5,34.282
IEEE118_P_1.0_73,23,7,35.306
IEEE118_P_1.0_74,23,3,32.902
IEEE118_P_1.0_74,23,5,30.833
