data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open,,obj_val,obj_bound,gap,time,,rel_gap
IEEE118_P_105_13,45,TIME_LIMIT,1999.476892,1997.733429,0.00087196,60.03907585,38,,1999.477041,1999.477041,0,13.6407795,,0.0%
IEEE118_P_105_14,45,OPTIMAL,1749.295089,1749.294456,3.61E-07,7.064407349,42,,1749.294829,1749.294456,2.13E-07,3.573511124,,0.0%
IEEE118_P_105_15,45,OPTIMAL,1893.447344,1893.31894,6.78E-05,4.988225937,38,,1893.315707,1893.315707,0,10.02979279,,0.0%
IEEE118_P_105_16,45,TIME_LIMIT,1820.134458,1818.540677,0.000875639,60.00683022,29.00000292,,1820.166644,1818.540677,0.000893306,60.02941704,,0.0%
IEEE118_P_105_17,45,OPTIMAL,1793.628268,1793.546164,4.58E-05,5.758054733,40,,1793.548928,1793.546164,1.54E-06,3.458927155,,0.0%
IEEE118_P_105_18,45,OPTIMAL,1828.343592,1828.32462,1.04E-05,4.774145126,43,,1828.325969,1828.32462,7.38E-07,2.008207321,,0.0%
IEEE118_P_105_19,45,OPTIMAL,1901.22717,1901.073635,8.08E-05,2.724966049,34,,1901.176169,1901.163334,6.75E-06,24.00100327,,0.0%
IEEE118_P_105_20,45,TIME_LIMIT,2136.17532,2132.267174,0.001829506,60.0263958,35.00000319,,2167.051342,2166.978278,3.37E-05,5.776590347,,-1.4%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.0%
