data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE300_P_100_9,10,OPTIMAL,43604.32117167936,43604.32117167936,0.0,3192.444311141968,10.0
IEEE300_P_100_9,15,TIME_LIMIT,42645.4006388335,42546.76206412045,0.002312994443373252,3600.0438594818115,15.0
IEEE300_P_100_9,20,OPTIMAL,42550.90648340925,42546.762064119175,9.739908341765556e-5,1811.710828781128,20.0
IEEE300_P_100_9,25,OPTIMAL,42550.13003960451,42546.7620641192,7.91531185023372e-5,398.02735900878906,25.0
IEEE300_P_100_10,10,TIME_LIMIT,42316.18532162718,41852.74243468987,0.010951906071279278,3600.064477920532,10.0
IEEE300_P_100_10,15,TIME_LIMIT,41520.76739925393,41337.88109670773,0.004404694662495184,3600.025640487671,15.0
IEEE300_P_100_10,20,TIME_LIMIT,41398.94849583335,41337.881096707264,0.0014750954153396154,3600.038677215576,20.0
IEEE300_P_100_10,25,TIME_LIMIT,41395.20907449686,41337.88109670731,0.0013848940269000965,3600.044677734375,24.00000148979518
IEEE300_P_100_11,10,TIME_LIMIT,41729.943519383996,41308.610776180285,0.010096652611283737,3600.0445671081543,10.0
IEEE300_P_100_11,15,TIME_LIMIT,40604.72279708632,39370.49969466975,0.030396047981520295,3600.0427742004395,15.0
IEEE300_P_100_11,20,TIME_LIMIT,40528.04082926063,40502.00979953882,0.0006422967700677825,3600.0399017333984,20.0
IEEE300_P_100_11,25,TIME_LIMIT,40507.95013177834,40503.25001623076,0.0001160294592120995,3600.0298805236816,25.0
IEEE300_P_100_12,10,TIME_LIMIT,43020.98568438648,42547.21075106501,0.011012647101979823,3600.0387630462646,10.0
IEEE300_P_100_12,15,TIME_LIMIT,42254.520716741514,42109.09327615456,0.0034417013403569784,3600.0320739746094,15.0
IEEE300_P_100_12,20,TIME_LIMIT,42121.786169215164,42109.093276153835,0.00030133795870710594,3600.0438899993896,20.0
IEEE300_P_100_12,25,TIME_LIMIT,42117.14908561868,42109.0932761549,0.00019127148058871123,3600.0262718200684,25.0
IEEE300_P_100_13,10,TIME_LIMIT,40509.13115143377,39992.19422384666,0.012760997653952834,3600.1166591644287,10.0
IEEE300_P_100_13,15,TIME_LIMIT,39503.76605007626,39384.11733457504,0.003028792630797378,3600.038209915161,15.0
IEEE300_P_100_13,20,OPTIMAL,39386.4308846491,39384.11733457587,5.873977461933182e-5,1204.2649974822998,19.0
