load_factor,bigM,max_path,max_edge,conv_level,avg_rel_gap,avg_time,num_not_opt,not_opt_gap,,,,
1.05,ksp,25,5,1,0.027532448,51.13487568,0,NaN,,,,
1.05,ksp,25,5,2,0.027607738,72.86228647,0,NaN,,,,
1.05,ksp,25,5,3,0.001627833,38.13262701,0,NaN,,,,
1.05,ksp,25,5,4,-0.000107612,66.84223461,0,NaN,,,,
1.05,ksp,25,5,5,1.09E-05,62.55807314,0,NaN,,,,
1.05,ksp,25,7,0,0.02759808,45.3125555,0,NaN,,,,
1.05,ksp,25,7,1,0.027568128,65.25755634,0,NaN,,,,
1.05,ksp,25,7,2,0.027548127,57.96869783,0,NaN,,,,
1.05,ksp,25,7,3,0.001619829,52.02964277,0,NaN,,,,
1.05,ksp,25,7,4,-0.000118071,78.73275052,0,NaN,,,,
1.05,ksp,25,7,5,-0.000112375,78.70254698,0,NaN,,,,
1.05,ksp,25,9,0,0.02759687,43.98133726,0,NaN,,,,
1.05,ksp,25,9,1,0.027589332,64.37304049,0,NaN,,,,
1.05,ksp,25,9,2,0.027536095,58.5734436,0,NaN,,,,
1.05,ksp,25,9,3,0.001610384,51.56714144,0,NaN,,,,
1.05,ksp,25,9,4,-0.000146071,78.77423296,0,NaN,,,,
1.05,ksp,25,9,5,-9.68E-05,81.66176024,0,NaN,,,,
1.05,ksp,30,5,0,0.027584118,42.9236104,0,NaN,,,,
1.05,ksp,30,5,1,0.027511856,50.7900794,0,NaN,,,,
1.05,ksp,30,5,2,0.027643709,46.73899355,0,NaN,,,,
1.05,ksp,30,5,3,0.001700708,47.30503816,0,NaN,,,,
1.05,ksp,30,5,4,-3.67E-05,68.54795341,0,NaN,,,,
1.05,ksp,30,5,5,-5.08E-05,62.21416368,0,NaN,,,,
1.05,ksp,30,7,0,0.027537744,62.05974646,0,NaN,,,,
1.05,ksp,30,7,1,0.02758253,54.82184362,0,NaN,,,,
1.05,ksp,30,7,2,0.027611482,64.5326807,0,NaN,,,,
1.05,ksp,30,7,3,0.001570191,49.55316763,0,NaN,,,,
1.05,ksp,30,7,4,-0.000100433,55.62757416,0,NaN,,,,
1.05,ksp,30,7,5,-0.000182676,71.17732058,0,NaN,,,,
1.05,ksp,30,9,0,0.027593643,56.77307386,0,NaN,,,,
1.05,ksp,30,9,1,0.027597215,57.66081781,0,NaN,,,,
1.05,ksp,30,9,2,0.027610169,64.66555624,0,NaN,,,,
1.05,ksp,30,9,3,0.00158187,52.01655254,0,NaN,,,,
1.05,ksp,30,9,4,-0.000100177,48.48384972,0,NaN,,,,
1.05,ksp,30,9,5,-0.000180188,81.31270981,0,NaN,,,,
,,,,,,,,,,,,
1,ksp,15,5,5,-2.33E-05,114.2137094,2,0.001299611,,,,
1,ksp,15,7,5,9.82E-05,46.28722696,0,NaN,,,,
1,ksp,15,9,5,-3.31E-06,88.12517986,1,0.001173577,,,,
1,ksp,20,5,5,2.67E-05,129.6532535,2,0.001147367,,,,
1,ksp,20,7,5,-1.63E-05,98.62521887,1,0.001383661,,,,
1,ksp,20,9,5,5.21E-05,99.31728859,2,0.001302096,,,,
1,ksp,25,5,5,3.68E-05,133.9175159,3,0.001961837,,,,
1,ksp,25,7,5,4.84E-05,81.47557669,1,0.002653412,,,,
1,ksp,25,9,5,-1.55E-05,80.80090733,1,0.001840468,,,,
1,ksp,30,5,5,-3.67E-05,134.0288963,3,0.001761463,,,,
1,ksp,30,7,5,7.73E-05,103.6001898,1,0.001383489,,,,
1,ksp,30,9,5,1.19E-05,184.1613482,4,0.008269612,,,,
