data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open,,obj_val,obj_bound,gap,time,,rel_gap
IEEE300_P_100_14,25,TIME_LIMIT,40330.24412,37859.35922,0.061266302,60.02895927,25,,40320.63009,40279.14096,0.00102898,60.04814529,,0.0%
IEEE300_P_100_15,10,TIME_LIMIT,45600.52516,38632.47527,0.152806352,60.01997948,10,,42798.87887,38708.05399,0.095582524,60.03719902,,6.1%
IEEE300_P_100_15,15,TIME_LIMIT,45450.35784,38632.47526,0.150007236,60.0206604,15,,41888.10871,40179.95708,0.040778915,60.02438164,,7.8%
IEEE300_P_100_15,20,TIME_LIMIT,42509.46566,38632.47526,0.09120299,60.02667618,20,,41800.46152,38875.12426,0.069983372,60.03603554,,1.7%
IEEE300_P_100_15,25,TIME_LIMIT,42875.95243,38632.47526,0.09897103,60.02697372,25,,41760.73174,39195.29962,0.061431685,60.0164547,,2.6%
IEEE300_P_100_16,10,TIME_LIMIT,44011.79283,37836.43016,0.140311546,60.01672745,10,,44144.12276,37837.31096,0.142868663,60.04534531,,-0.3%
IEEE300_P_100_16,15,TIME_LIMIT,42054.93706,37836.43016,0.100309433,60.02709007,15,,40799.467,37836.43016,0.072624401,60.0075264,,3.0%
IEEE300_P_100_16,20,TIME_LIMIT,40833.35727,37836.43016,0.07339409,60.03377151,20,,40576.88002,40535.83471,0.001011544,60.02783585,,0.6%
IEEE300_P_100_16,25,TIME_LIMIT,40643.47485,37989.36776,0.06530217,60.02672577,25,,40554.00518,40535.83471,0.000448056,60.02405548,,0.2%
IEEE300_P_100_17,10,TIME_LIMIT,43867.75968,37772.74234,0.138940702,60.02072525,10,,41113.52321,38174.23328,0.071492047,60.01912498,,6.3%
IEEE300_P_100_17,15,TIME_LIMIT,44001.70942,37772.74234,0.141561934,60.01141167,15,,40474.39842,38008.53134,0.060924119,60.02357101,,8.0%
IEEE300_P_100_17,20,TIME_LIMIT,40099.99329,38325.81751,0.044243793,60.02064133,20,,40033.1747,39959.6601,0.001836342,60.02701759,,0.2%
IEEE300_P_100_17,25,TIME_LIMIT,40107.1388,37772.74234,0.058204014,60.01891136,25,,40039.35513,38341.82388,0.042396568,60.01727295,,0.2%
IEEE300_P_100_18,10,TIME_LIMIT,42621.81445,37812.04172,0.112847677,60.0377655,10,,40424.54343,37892.11765,0.062645748,60.03783798,,5.2%
IEEE300_P_100_18,15,TIME_LIMIT,42054.95309,37812.04172,0.100889695,60.02567482,15,,39560.34717,37812.04172,0.04419338,60.01833916,,5.9%
IEEE300_P_100_18,20,TIME_LIMIT,39502.0544,37812.04172,0.042782906,60.02279282,20,,39252.40892,39189.79219,0.001595233,60.04495811,,0.6%
IEEE300_P_100_18,25,TIME_LIMIT,39324.3478,37892.11765,0.036420951,60.03217697,25,,39249.14421,39233.35185,0.000402362,60.0400238,,0.2%
IEEE300_P_100_19,10,TIME_LIMIT,44074.82684,37593.43471,0.147054285,60.01932335,10,,41574.76994,38184.91872,0.081536259,60.0382843,,5.7%
IEEE300_P_100_19,15,TIME_LIMIT,40247.9987,37593.43471,0.06595518,60.02438164,15,,40390.74888,39967.8567,0.010470026,60.03122902,,-0.4%
IEEE300_P_100_19,20,TIME_LIMIT,40067.09396,37593.58942,0.061734064,60.02725601,20,,40063.54798,39967.8567,0.002388487,60.02830315,,0.0%
IEEE300_P_100_19,25,TIME_LIMIT,40144.34978,39967.8567,0.004396461,60.04244995,25,,40065.35916,39153.37306,0.022762459,60.03396034,,0.2%
IEEE300_P_100_20,10,TIME_LIMIT,44729.70585,38053.09665,0.149265663,60.02226639,10,,43412.88221,38053.09665,0.123460717,60.03342247,,2.9%
IEEE300_P_100_20,15,TIME_LIMIT,41041.61695,38053.09665,0.072816826,60.02771759,15,,40668.51091,40467.05916,0.004953507,60.02516556,,0.9%
IEEE300_P_100_20,20,TIME_LIMIT,40974.80778,38053.09665,0.07130506,60.02062607,20,,40645.17764,40467.05916,0.004382278,60.03130531,,0.8%
IEEE300_P_100_20,25,TIME_LIMIT,40559.19082,38494.4578,0.050906662,60.02125359,25,,40507.37555,40467.05916,0.000995285,60.02476311,,0.1%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0%
