data_instance,card,size_candi,time,obj_val,num_open,idx_rm_branch
IEEE300_P_1.05_7,45,2,0.05,none,0,
IEEE300_P_1.05_8,45,1,0.061,none,0,
IEEE300_P_1.05_8,45,2,0.051,none,0,
IEEE300_P_1.05_9,45,1,0.05,none,0,
IEEE300_P_1.05_9,45,2,0.061,none,0,
IEEE300_P_1.05_10,45,1,0.051,none,0,
IEEE300_P_1.05_10,45,2,0.051,none,0,
IEEE300_P_1.05_11,45,1,0.06,none,0,
IEEE300_P_1.05_11,45,2,0.051,none,0,
IEEE300_P_1.05_12,45,1,0.059,none,0,
IEEE300_P_1.05_12,45,2,0.052,none,0,
IEEE300_P_1.05_13,45,1,0.05,none,0,
IEEE300_P_1.05_13,45,2,0.061,none,0,
IEEE300_P_1.05_14,45,1,0.05,none,0,
IEEE300_P_1.05_14,45,2,0.081,none,0,
IEEE300_P_1.05_15,45,1,0.061,none,0,
IEEE300_P_1.05_15,45,2,0.051,none,0,
IEEE300_P_1.05_16,45,1,0.091,none,0,
IEEE300_P_1.05_16,45,2,0.051,none,0,
IEEE300_P_1.05_17,45,1,0.052,none,0,
IEEE300_P_1.05_17,45,2,0.06,none,0,
IEEE300_P_1.05_18,45,1,0.083,none,0,
IEEE300_P_1.05_18,45,2,0.051,none,0,
IEEE300_P_1.05_19,45,1,0.061,none,0,
IEEE300_P_1.05_19,45,2,0.051,none,0,
IEEE300_P_1.05_20,45,1,0.061,none,0,
IEEE300_P_1.05_20,45,2,0.05,none,0,
